CourseTitle|CourseCode|Subterm|CreditHours|Instructor|CourseDays|TimeSlot|BuildingCode|Room|Comments
Editing for Film & TV|FILM-3204-R-1|Spring|3|Brian Emery|M|4:00 PM-6:30 PM|HEIM|135|Open
Filming with Actors; a Workshop for Directors and Actors|FILM-3224-R-1|Fall|2|Keith Manning|R|11:05 AM-1:00 PM|HEIM|130|Intermediate
Short Film Composition|FILM-3238-R-1|Fall|5|Jazmin Lopez|W|5:00 PM-8:00 PM|HEIM|135|
Short Film Composition|FILM-3238-R-1|Fall|5|Jazmin Lopez|W|5:00 PM-8:00 PM|HEIM|210|Open
TV Writing:Writing the Spec Script:|FILM-3312-R-1|Fall|5|Marygrace O'Shea|R|11:05 AM-2:00 PM|HEIM|111|Sophomores and above
Writing the Short Screenplay|FILM-3323-R-1|Fall|5|Margaret Greenwald|R|11:05 AM-2:00 PM|HEIM|211|Open
Writing the Feature Screenplay|FILM-3333-R-1|Year|10|Rona Mark|W|11:05 AM-2:00 PM|HEIM|111|Open
Your Cinema Vocabulary|FILM-3336-R-1|Spring|5|Jazmin Lopez|W|5:10 PM-8:05 PM|HEIM|210|Open
Screenwriting: Tools of the Trade|FILM-3421-R-1|Spring|5|Keith Manning|T|3:35 PM-6:30 PM|HEIM|211|Open
2D Character Animation|FILM-3427-R-1|Year|10|Scott Duce|R|9:30 AM-12:30 PM|HEIM|129|oPEN
Storyboarding for Film and Animation|FILM-3428-R-1|Fall|5|Scott Duce|WF|9:00 AM-10:55 AM|HEIM|129|Open
The Director Prepares|FILM-3446-R-1|Spring|5|Margaret Greenwald|R|11:05 AM-2:00 PM|HEIM|208|Open
